20000,Atlanta Braves
20001,Miami Marlins
20002,New York Mets
20003,Philadelphia Phillies
20004,Washington Nationals
20005,Chicago Cubs
20006,Cincinnati Reds
20007,Milwaukee Brewers
20008,Pittsburgh Pirates
20009,St. Louis Cardinals
20010,Arizona Diamonbacks
20011,Colorado Rockies
20012,Los Angeles Dodgers
20013,San Diego Padres
20014,San Francisco Giants
20015,Baltimore Orioles
20016,Boston Red Sox
20017,New York Yankees
20018,Tampa Bay Rays
20019,Toronto Blue Jays
20020,Chicago White Sox
20021,Cleveland Indians
20022,Detroit Tigers
20023,Kansas City Royals
20024,Minnesota Twins
20025,Houston Astros
20026,Los Angeles Angels of Anaheim
20027,Oakland Athletics
20028,Seattle Mariners
20029,Texas Rangers
